"Position","Featured Status","Property Title","Price","Size","Address","Property Type","Property Link","Agent Logo","Agent Name","Enquiry Link"
48,,"18-18a Monmouth Place, Bath...","£45,000.00 Per Annum","2,031 Sq Ft","18-18a Monmouth Place, Bath, Bath And North East...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6938574-18-18a-monmouth-place-bath-bath-and-north-east-somerset-ba1-2ay","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-2#enquiry-modal-6938574"
49,"Featured","Flexible Offices 4 Queen Street...","£400.00 - £6,500.00 Per Month","80 - 650 Sq Ft","UBC Flexible Offices 4 Queen Street, Bath BA1...","Office, Serviced Office, Offices","https://propertylink.estatesgazette.com/property-details/6976767-flexible-offices-4-queen-street-bath","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/019/927/UBC_logo.jpg","Ubc logo","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-3#enquiry-modal-6976767"
50,,"2-6 Northumberland Buildings...","£26.00 Per Sq Ft","1,187 - 11,421 Sq Ft","2-6 Northumberland Buildings, Bath, Bath And North...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6930991-2-6-northumberland-buildings-bath-bath-and-north-east-somerset-ba1","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-3#enquiry-modal-6930991"
51,,"Milsom Place, Bath, Bath And...","ROA","472 - 6,921 Sq Ft","General Retail, Leisure Property, Other...","General Retail, Leisure Property, Other...","https://propertylink.estatesgazette.com/property-details/6929932-milsom-place-bath-bath-and-north-east-somerset-ba1","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-3#enquiry-modal-6929932"
52,,"Open Storage, The Old Fuller...","For sale: POA
To rent: £2.50 Per Sq Ft","0.5 - 4 Acres","Open Storage, The Old Fuller Earth Works, Fosseway...","General Industrial, Land, Industrial, Commercial Land","https://propertylink.estatesgazette.com/property-details/6926540-open-storage-the-old-fuller-earth-works-fosseway-environment-park-bath-somerset","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-3#enquiry-modal-6926540"
53,,"Upper Floors , 39 Gay Street...","£10,000.00 - £23,500.00 Per Annum","436 Sq Ft","Upper Floors , 39 Gay Street, Bath, Bath And North...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6923560-upper-floors-39-gay-street-bath-bath-and-north-east-somerset-ba1-2nt","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-3#enquiry-modal-6923560"
54,,"Storage Unit , The Old Fuller...","£25,000.00 Per Annum","3,008 Sq Ft","Storage Unit , The Old Fuller Earth Works, Fosseway...","General Industrial, Industrial","https://propertylink.estatesgazette.com/property-details/6920140-storage-unit-the-old-fuller-earth-works-fosseway-environment-park-bath-somerset","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-3#enquiry-modal-6920140"
55,,"Westpoint, James Street West...","ROA","2,500 - 6,103 Sq Ft","Westpoint, James Street West, Bath, BA1 2DA","Office, Offices","https://propertylink.estatesgazette.com/property-details/6917141-westpoint-james-street-west-ba1","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/016/269/Savills_Logo.jpg","Savills logo","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-3#enquiry-modal-6917141"
56,,"Ground Floor 2 Northumberland...","£23,750.00 Per Annum","762 Sq Ft","Ground Floor 2 Northumberland Buildings, Bath...","Office, General Retail, Offices, Retail","https://propertylink.estatesgazette.com/property-details/6915700-ground-floor-2-northumberland-buildings-bath-bath-and-north-east-somerset-ba1","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-3#enquiry-modal-6915700"
57,,"The Corridor, Bath, Bath And...","£40,000.00 Per Annum","1,763 Sq Ft","General Retail, Restaurants/Cafes, Retail, Licensed &...","General Retail, Restaurants/Cafes, Retail, Licensed &...","https://propertylink.estatesgazette.com/property-details/6906944-the-corridor-bath-bath-and-north-east-somerset-ba1","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-3#enquiry-modal-6906944"
58,,"22 St. Lawrence Street, Bath...","£30.00 Per Sq Ft","4,154 Sq Ft","22 St. Lawrence Street, Bath, Bath And North East...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6899709-22-st-lawrence-street-bath-bath-and-north-east-somerset-ba1-1an","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-3#enquiry-modal-6899709"
59,,"Bath Street, Bath, Bath And...","ROA","5,381 Sq Ft","Bath Street, Bath, Bath And North East Somerset...","Office, General Retail, Restaurants/Cafes...","https://propertylink.estatesgazette.com/property-details/6898832-bath-street-bath-bath-and-north-east-somerset-ba1","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-3#enquiry-modal-6898832"
60,,"Beazer House, Lower Bristol...","£24.00 Per Sq Ft","30,864 Sq Ft","Beazer House, Lower Bristol Road, Bath, Somerset...","Office, General Retail, Offices, Retail","https://propertylink.estatesgazette.com/property-details/6893325-beazer-house-lower-bristol-road-bath-somerset-ba2","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-3#enquiry-modal-6893325"
61,,"8 Palace Yard Mews, Bath, Bath...","£47,000.00 Per Annum","2,355 Sq Ft","8 Palace Yard Mews, Bath, Bath And North East...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6889088-8-palace-yard-mews-bath-bath-and-north-east-somerset-ba1-2nh","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-3#enquiry-modal-6889088"
